,Last Refresh: 2024-11-24 19:29:00,
Calendar Basis,,
Portfolio, ,Default
Item, , 
Frequency,일간,KRW
Non-Trading Day,Previous,Asc
Include Weekend,ALL, 
Term,20071020,20241120
Symbol,Economy,
Symbol Name,ECO,
Kind,ECO,
Item,E11.02.003.013,
Item Name,시장금리:국고1년(%),
Frequency,D,
2009-08-09,2.96,
2009-08-10,2.98,
2009-08-11,2.98,
2009-08-12,3.06,
2009-08-13,3.11,
2009-08-14,3.19,
2009-08-15,3.19,
2009-08-16,3.19,
2009-08-17,3.16,
2009-08-18,3.2,
2009-08-19,3.19,
2009-08-20,3.22,
2009-08-21,3.23,
2009-08-22,3.23,
2009-08-23,3.23,
2009-08-24,3.29,
2009-08-25,3.35,
2009-08-26,3.38,
2009-08-27,3.37,
2009-08-28,3.4,
2009-08-29,3.4,
2009-08-30,3.4,
2009-08-31,3.42,
2009-09-01,3.43,
2009-09-02,3.39,
2009-09-03,3.37,
2009-09-04,3.37,
2009-09-05,3.37,
2009-09-06,3.37,
2009-09-07,3.36,
2009-09-08,3.33,
2009-09-09,3.31,
2009-09-10,3.5,
2009-09-11,3.5,
2009-09-12,3.5,
2009-09-13,3.5,
2009-09-14,3.5,
2009-09-15,3.48,
2009-09-16,3.42,
2009-09-17,3.42,
2009-09-18,3.38,
2009-09-19,3.38,
2009-09-20,3.38,
2009-09-21,3.43,
2009-09-22,3.47,
2009-09-23,3.48,
2009-09-24,3.49,
2009-09-25,3.5,
2009-09-26,3.5,
2009-09-27,3.5,
2009-09-28,3.53,
2009-09-29,3.57,
2009-09-30,3.54,
2009-10-01,3.54,
2009-10-02,3.54,
2009-10-03,3.54,
2009-10-04,3.54,
2009-10-05,3.54,
2009-10-06,3.61,
2009-10-07,3.61,
2009-10-08,3.62,
2009-10-09,3.53,
2009-10-10,3.53,
2009-10-11,3.53,
2009-10-12,3.48,
2009-10-13,3.43,
2009-10-14,3.4,
2009-10-15,3.41,
2009-10-16,3.5,
2009-10-17,3.5,
2009-10-18,3.5,
2009-10-19,3.5,
2009-10-20,3.51,
2009-10-21,3.49,
2009-10-22,3.5,
2009-10-23,3.56,
2009-10-24,3.56,
2009-10-25,3.56,
2009-10-26,3.58,
2009-10-27,3.55,
2009-10-28,3.54,
2009-10-29,3.51,
2009-10-30,3.51,
2009-10-31,3.51,
2009-11-01,3.51,
2009-11-02,3.5,
2009-11-03,3.48,
2009-11-04,3.49,
2009-11-05,3.45,
2009-11-06,3.44,
2009-11-07,3.44,
2009-11-08,3.44,
2009-11-09,3.4,
2009-11-10,3.37,
2009-11-11,3.34,
2009-11-12,3.28,
2009-11-13,3.23,
2009-11-14,3.23,
2009-11-15,3.23,
2009-11-16,3.23,
2009-11-17,3.18,
2009-11-18,3.19,
2009-11-19,3.18,
2009-11-20,3.18,
2009-11-21,3.18,
2009-11-22,3.18,
2009-11-23,3.22,
2009-11-24,3.21,
2009-11-25,3.2,
2009-11-26,3.18,
2009-11-27,3.1,
2009-11-28,3.1,
2009-11-29,3.1,
2009-11-30,3.12,
2009-12-01,3.09,
2009-12-02,3.13,
2009-12-03,3.13,
2009-12-04,3.16,
2009-12-05,3.16,
2009-12-06,3.16,
2009-12-07,3.22,
2009-12-08,3.19,
2009-12-09,3.19,
2009-12-10,3.3,
2009-12-11,3.29,
2009-12-12,3.29,
2009-12-13,3.29,
2009-12-14,3.3,
2009-12-15,3.27,
2009-12-16,3.33,
2009-12-17,3.33,
2009-12-18,3.31,
2009-12-19,3.31,
2009-12-20,3.31,
2009-12-21,3.32,
2009-12-22,3.41,
2009-12-23,3.39,
2009-12-24,3.41,
2009-12-25,3.41,
2009-12-26,3.41,
2009-12-27,3.41,
2009-12-28,3.44,
2009-12-29,3.46,
2009-12-30,3.48,
2009-12-31,3.48,
2010-01-01,3.48,
2010-01-02,3.48,
2010-01-03,3.48,
2010-01-04,3.5,
2010-01-05,3.43,
2010-01-06,3.46,
2010-01-07,3.39,
2010-01-08,3.38,
2010-01-09,3.38,
2010-01-10,3.38,
2010-01-11,3.26,
2010-01-12,3.24,
2010-01-13,3.25,
2010-01-14,3.24,
2010-01-15,3.25,
2010-01-16,3.25,
2010-01-17,3.25,
2010-01-18,3.27,
2010-01-19,3.24,
2010-01-20,3.24,
2010-01-21,3.24,
2010-01-22,3.22,
2010-01-23,3.22,
2010-01-24,3.22,
2010-01-25,3.23,
2010-01-26,3.2,
2010-01-27,3.22,
2010-01-28,3.25,
2010-01-29,3.22,
2010-01-30,3.22,
2010-01-31,3.22,
2010-02-01,3.22,
2010-02-02,3.19,
2010-02-03,3.17,
2010-02-04,3.16,
2010-02-05,3.13,
2010-02-06,3.13,
2010-02-07,3.13,
2010-02-08,3.15,
2010-02-09,3.14,
2010-02-10,3.14,
2010-02-11,3.1,
2010-02-12,3.06,
2010-02-13,3.06,
2010-02-14,3.06,
2010-02-15,3.06,
2010-02-16,3.06,
2010-02-17,3.05,
2010-02-18,3.06,
2010-02-19,3.13,
2010-02-20,3.13,
2010-02-21,3.13,
2010-02-22,3.14,
2010-02-23,3.12,
2010-02-24,3.11,
2010-02-25,3.08,
2010-02-26,3.07,
2010-02-27,3.07,
2010-02-28,3.07,
2010-03-01,3.07,
2010-03-02,3.06,
2010-03-03,3.03,
2010-03-04,3.02,
2010-03-05,3.01,
2010-03-06,3.01,
2010-03-07,3.01,
2010-03-08,3.01,
2010-03-09,2.99,
2010-03-10,2.98,
2010-03-11,2.88,
2010-03-12,2.85,
2010-03-13,2.85,
2010-03-14,2.85,
2010-03-15,2.84,
2010-03-16,2.78,
2010-03-17,2.73,
2010-03-18,2.7,
2010-03-19,2.7,
2010-03-20,2.7,
2010-03-21,2.7,
2010-03-22,2.69,
2010-03-23,2.75,
2010-03-24,2.77,
2010-03-25,2.7,
2010-03-26,2.7,
2010-03-27,2.7,
2010-03-28,2.7,
2010-03-29,2.71,
2010-03-30,2.71,
2010-03-31,2.7,
2010-04-01,2.66,
2010-04-02,2.65,
2010-04-03,2.65,
2010-04-04,2.65,
2010-04-05,2.67,
2010-04-06,2.67,
2010-04-07,2.67,
2010-04-08,2.64,
2010-04-09,2.65,
2010-04-10,2.65,
2010-04-11,2.65,
2010-04-12,2.68,
2010-04-13,2.68,
2010-04-14,2.7,
2010-04-15,2.69,
2010-04-16,2.67,
2010-04-17,2.67,
2010-04-18,2.67,
2010-04-19,2.67,
2010-04-20,2.67,
2010-04-21,2.68,
2010-04-22,2.68,
2010-04-23,2.68,
2010-04-24,2.68,
2010-04-25,2.68,
2010-04-26,2.68,
2010-04-27,2.66,
2010-04-28,2.65,
2010-04-29,2.63,
2010-04-30,2.65,
2010-05-01,2.65,
2010-05-02,2.65,
2010-05-03,2.68,
2010-05-04,2.69,
2010-05-05,2.69,
2010-05-06,2.72,
2010-05-07,2.69,
2010-05-08,2.69,
2010-05-09,2.69,
2010-05-10,2.7,
2010-05-11,2.68,
2010-05-12,2.74,
2010-05-13,2.75,
2010-05-14,2.75,
2010-05-15,2.75,
2010-05-16,2.75,
2010-05-17,2.76,
2010-05-18,2.76,
2010-05-19,2.76,
2010-05-20,2.76,
2010-05-21,2.76,
2010-05-22,2.76,
2010-05-23,2.76,
2010-05-24,2.74,
2010-05-25,2.72,
2010-05-26,2.74,
2010-05-27,2.74,
2010-05-28,2.75,
2010-05-29,2.75,
2010-05-30,2.75,
2010-05-31,2.75,
2010-06-01,2.75,
2010-06-02,2.75,
2010-06-03,2.78,
2010-06-04,2.8,
2010-06-05,2.8,
2010-06-06,2.8,
2010-06-07,2.78,
2010-06-08,2.78,
2010-06-09,2.77,
2010-06-10,2.79,
2010-06-11,2.85,
2010-06-12,2.85,
2010-06-13,2.85,
2010-06-14,2.89,
2010-06-15,2.92,
2010-06-16,2.93,
2010-06-17,2.93,
2010-06-18,2.94,
2010-06-19,2.94,
2010-06-20,2.94,
2010-06-21,3,
2010-06-22,3.02,
2010-06-23,3.03,
2010-06-24,3.03,
2010-06-25,3.04,
2010-06-26,3.04,
2010-06-27,3.04,
2010-06-28,3.11,
2010-06-29,3.1,
2010-06-30,3.09,
2010-07-01,3.07,
2010-07-02,3.08,
2010-07-03,3.08,
2010-07-04,3.08,
2010-07-05,3.1,
2010-07-06,3.1,
2010-07-07,3.13,
2010-07-08,3.15,
2010-07-09,3.16,
2010-07-10,3.16,
2010-07-11,3.16,
2010-07-12,3.18,
2010-07-13,3.18,
2010-07-14,3.2,
2010-07-15,3.18,
2010-07-16,3.17,
2010-07-17,3.17,
2010-07-18,3.17,
2010-07-19,3.17,
2010-07-20,3.16,
2010-07-21,3.14,
2010-07-22,3.12,
2010-07-23,3.13,
2010-07-24,3.13,
2010-07-25,3.13,
2010-07-26,3.15,
2010-07-27,3.14,
2010-07-28,3.14,
2010-07-29,3.12,
2010-07-30,3.12,
2010-07-31,3.12,
2010-08-01,3.12,
2010-08-02,3.15,
2010-08-03,3.15,
2010-08-04,3.14,
2010-08-05,3.16,
2010-08-06,3.18,
2010-08-07,3.18,
2010-08-08,3.18,
2010-08-09,3.2,
2010-08-10,3.2,
2010-08-11,3.17,
2010-08-12,3.13,
2010-08-13,3.12,
2010-08-14,3.12,
2010-08-15,3.12,
2010-08-16,3.12,
2010-08-17,3.13,
2010-08-18,3.12,
2010-08-19,3.11,
2010-08-20,3.1,
2010-08-21,3.1,
2010-08-22,3.1,
2010-08-23,3.11,
2010-08-24,3.1,
2010-08-25,3.1,
2010-08-26,3.1,
2010-08-27,3.11,
2010-08-28,3.11,
2010-08-29,3.11,
2010-08-30,3.13,
2010-08-31,3.13,
2010-09-01,3.18,
2010-09-02,3.17,
2010-09-03,3.18,
2010-09-04,3.18,
2010-09-05,3.18,
2010-09-06,3.19,
2010-09-07,3.17,
2010-09-08,3.16,
2010-09-09,2.99,
2010-09-10,2.99,
2010-09-11,2.99,
2010-09-12,2.99,
2010-09-13,2.96,
2010-09-14,2.92,
2010-09-15,2.89,
2010-09-16,2.87,
2010-09-17,2.88,
2010-09-18,2.88,
2010-09-19,2.88,
2010-09-20,2.91,
2010-09-21,2.91,
2010-09-22,2.91,
2010-09-23,2.91,
2010-09-24,2.87,
2010-09-25,2.87,
2010-09-26,2.87,
2010-09-27,2.86,
2010-09-28,2.85,
2010-09-29,2.84,
2010-09-30,2.84,
2010-10-01,2.82,
2010-10-02,2.82,
2010-10-03,2.82,
2010-10-04,2.85,
2010-10-05,2.84,
2010-10-06,2.84,
2010-10-07,2.84,
2010-10-08,2.83,
2010-10-09,2.83,
2010-10-10,2.83,
2010-10-11,2.84,
2010-10-12,2.83,
2010-10-13,2.85,
2010-10-14,2.7,
2010-10-15,2.69,
2010-10-16,2.69,
2010-10-17,2.69,
2010-10-18,2.7,
